년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2020-01,127,0.6,-3.9,6.2
2020-02,127,1.8,-3.5,7.7
2020-03,127,7,-0.2,14.2
2020-04,127,10.2,2.7,17.7
2020-05,127,17.8,11.9,24
2020-06,127,23.4,18.3,29.2
2020-07,127,23.1,19.6,27.3
2021-01,127,-3.6,-9.6,2.7
2021-02,127,1.7,-4.7,8.4
2021-03,127,8.1,1.8,14.9
2021-04,127,13.1,6.3,19.7
2021-05,127,16.2,10.3,22.2
2021-06,127,22.1,17.3,27.6
2021-07,127,26.4,21.9,31.7
2022-01,127,-3.4,-9.4,3
2022-02,127,-2,-8.2,4.4
2022-03,127,6.7,0.4,13.2
2022-04,127,13.4,5.9,21.1
2022-05,127,17.8,10.1,25.3
2022-06,127,22.9,17.7,28.3
2022-07,127,26,22.3,30.5
2023-01,127,-3.1,-8.6,3.1
2023-02,127,0.9,-4.9,7.4
2023-03,127,8.6,0.8,17
2023-04,127,13,5.9,19.7
2023-05,127,18.4,11.4,24.9
2023-06,127,22.8,17.7,28.4
2023-07,127,25.9,22.4,30.4
2024-01,127,-1.2,-5.4,3.6
2024-02,127,3.1,-1.2,8.1


